epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0712,1.8349,3.15832,1.67557,0.01,0.73256,0.1185,0.05466,1.3544,3.18365,1.57428,0.0001,0.0001,0.0001
2,47.6082,1.50385,2.8199,1.38839,0.01143,0.83721,0.19048,0.05451,1.97131,3.21837,1.84183,0.000215644,0.000215644,0.000215644
3,70.3448,1.42684,2.25653,1.25149,0.36439,0.06681,0.12119,0.06583,1.80684,2.94487,1.77966,0.000326536,0.000326536,0.000326536
4,91.826,1.38397,1.66661,1.26341,0.17414,0.17442,0.12713,0.07025,1.72946,2.91307,1.76447,0.000432676,0.000432676,0.000432676
5,113.408,1.36936,1.44092,1.22102,0.32379,0.23256,0.22825,0.07439,1.68062,2.82488,1.80785,0.000534064,0.000534064,0.000534064
6,135.121,1.38085,1.38725,1.23872,0.40411,0.23256,0.2249,0.08187,1.8003,2.66887,1.93666,0.0006307,0.0006307,0.0006307
7,156.61,1.19704,1.64363,1.17677,0.5862,0.313,0.32465,0.13824,1.81143,2.41047,1.85274,0.000722584,0.000722584,0.000722584
8,177.809,1.23675,1.33893,1.22347,0.50752,0.38346,0.32928,0.15277,1.78011,2.37231,1.9182,0.000809716,0.000809716,0.000809716
9,198.695,1.20809,1.35239,1.20337,0.4003,0.37209,0.25479,0.12353,1.79817,2.40431,1.89997,0.000892096,0.000892096,0.000892096
10,220.773,1.26292,1.20996,1.16093,0.3685,0.27907,0.24189,0.12628,1.60866,2.26408,1.66835,0.000969724,0.000969724,0.000969724
11,242.516,1.18419,1.27078,1.17189,0.29638,0.38372,0.28298,0.13511,1.62709,2.20243,1.64182,0.0010426,0.0010426,0.0010426
12,264.682,1.23707,1.26732,1.19059,0.29835,0.36047,0.26706,0.12819,1.63746,2.29385,1.6575,0.00111072,0.00111072,0.00111072
13,287.608,1.21902,1.26367,1.18411,0.21965,0.44186,0.2372,0.10961,1.69894,2.52461,1.71013,0.0011741,0.0011741,0.0011741
14,311.249,1.18862,1.19373,1.14835,0.27141,0.2907,0.16744,0.06925,1.6672,2.95991,1.79544,0.00123272,0.00123272,0.00123272
15,334.417,1.17547,1.16674,1.15172,0.27141,0.2907,0.16744,0.06925,1.6672,2.95991,1.79544,0.00128658,0.00128658,0.00128658
16,357.684,1.18186,1.17621,1.21231,0.29159,0.31395,0.18058,0.07194,1.62961,3.71862,1.8726,0.0013357,0.0013357,0.0013357
17,382.194,1.20309,1.15644,1.15916,0.32966,0.31395,0.21768,0.09171,1.57571,3.69339,1.82484,0.0013664,0.0013664,0.0013664
18,408.263,1.1552,1.12001,1.14894,0.21046,0.52326,0.2229,0.1053,1.60288,2.84444,1.83394,0.0013268,0.0013268,0.0013268
19,453.898,1.10693,1.12764,1.11731,0.21046,0.52326,0.2229,0.1053,1.60288,2.84444,1.83394,0.0012872,0.0012872,0.0012872
20,474.711,1.15365,1.12221,1.1297,0.26119,0.37209,0.27927,0.14105,1.51363,2.39669,1.74574,0.0012476,0.0012476,0.0012476
21,515.534,1.13918,1.1485,1.13799,0.30679,0.40698,0.30631,0.16888,1.51992,2.26434,1.67602,0.001208,0.001208,0.001208
22,577.17,1.15119,1.22246,1.13636,0.39021,0.40698,0.36176,0.18098,1.52802,2.30793,1.65139,0.0011684,0.0011684,0.0011684
23,605.777,1.17997,1.21728,1.19181,0.39021,0.40698,0.36176,0.18098,1.52802,2.30793,1.65139,0.0011288,0.0011288,0.0011288
24,626.002,1.10017,1.15223,1.11827,0.63635,0.32558,0.39589,0.20137,1.51535,2.23743,1.62863,0.0010892,0.0010892,0.0010892
25,647.31,1.14788,1.08749,1.10043,0.42246,0.34884,0.31103,0.17547,1.44394,2.22574,1.5899,0.0010496,0.0010496,0.0010496
26,669.146,1.13068,1.12594,1.0989,0.33494,0.38372,0.30214,0.17531,1.53587,2.29573,1.67036,0.00101,0.00101,0.00101
27,691.356,1.10051,1.05653,1.10881,0.33494,0.38372,0.30214,0.17531,1.53587,2.29573,1.67036,0.0009704,0.0009704,0.0009704
28,714.777,1.0359,0.97973,1.06845,0.37262,0.47674,0.33852,0.18731,1.56595,2.38106,1.69288,0.0009308,0.0009308,0.0009308
29,738.38,1.02904,0.99778,1.05046,0.45972,0.33721,0.3449,0.20387,1.54778,2.28223,1.65406,0.0008912,0.0008912,0.0008912
30,761.732,1.07749,1.01154,1.09279,0.672,0.28595,0.38441,0.21907,1.48884,2.17751,1.66766,0.0008516,0.0008516,0.0008516
31,785.738,1.08682,1.02055,1.10335,0.672,0.28595,0.38441,0.21907,1.48884,2.17751,1.66766,0.000812,0.000812,0.000812
32,807.631,1.01384,1.44637,1.15832,0.57008,0.31395,0.4015,0.22452,1.51573,2.12628,1.67453,0.0007724,0.0007724,0.0007724
33,829.034,1.02571,1.02675,1.06331,0.34588,0.43041,0.35292,0.20304,1.49303,2.12788,1.66033,0.0007328,0.0007328,0.0007328
34,849.939,0.9707,1.01317,1.082,0.36759,0.5,0.34192,0.20186,1.44776,1.97443,1.63058,0.0006932,0.0006932,0.0006932
35,871.379,0.99706,1.02185,1.08855,0.36759,0.5,0.34192,0.20186,1.44776,1.97443,1.63058,0.0006536,0.0006536,0.0006536
36,893.279,1.07909,1.06114,1.08142,0.31284,0.57173,0.36775,0.2242,1.39023,1.86305,1.56674,0.000614,0.000614,0.000614
37,915.676,1.04704,1.06942,1.07935,0.32658,0.63158,0.40922,0.2648,1.3702,1.74316,1.53681,0.0005744,0.0005744,0.0005744
38,953.742,0.98773,1.0025,1.10823,0.46618,0.53821,0.49459,0.29455,1.36101,1.66792,1.51286,0.0005348,0.0005348,0.0005348
39,980.273,0.96251,0.97374,1.04796,0.46618,0.53821,0.49459,0.29455,1.36101,1.66792,1.51286,0.0004952,0.0004952,0.0004952
40,1007.87,0.95598,0.93354,1.05566,0.50416,0.5814,0.52963,0.2923,1.34994,1.67613,1.5058,0.0004556,0.0004556,0.0004556
41,1036.61,1.00547,1.01939,1.04921,0.55324,0.55814,0.53412,0.29299,1.34041,1.66185,1.50078,0.000416,0.000416,0.000416
42,1063.27,0.95099,0.98628,1.03903,0.62476,0.54651,0.58705,0.32439,1.30429,1.64875,1.47742,0.0003764,0.0003764,0.0003764
43,1089.34,0.93044,0.94344,1.05381,0.62476,0.54651,0.58705,0.32439,1.30429,1.64875,1.47742,0.0003368,0.0003368,0.0003368
44,1114.69,0.88179,0.89064,1.02355,0.68333,0.53488,0.60212,0.34526,1.27756,1.61694,1.45619,0.0002972,0.0002972,0.0002972
45,1140.13,0.94929,0.96439,1.02448,0.63301,0.56977,0.61046,0.34945,1.2598,1.589,1.43073,0.0002576,0.0002576,0.0002576
46,1165.16,0.73451,12.1247,0.84709,0.54196,0.65116,0.61268,0.34478,1.2634,1.58626,1.42966,0.000218,0.000218,0.000218
47,1192.72,0.89927,1.12693,0.99048,0.54196,0.65116,0.61268,0.34478,1.2634,1.58626,1.42966,0.0001784,0.0001784,0.0001784
48,1218.55,0.92529,1.0059,1.06612,0.56514,0.63471,0.62591,0.35296,1.27712,1.57873,1.42766,0.0001388,0.0001388,0.0001388
49,1244.24,0.90288,0.89507,1.01683,0.54878,0.65116,0.63561,0.35349,1.2766,1.57993,1.42464,9.92e-05,9.92e-05,9.92e-05
50,1269.78,0.96025,0.9766,1.09613,0.56064,0.65287,0.62738,0.34951,1.28253,1.5783,1.42121,5.96e-05,5.96e-05,5.96e-05
